"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sc_mouse_ws_3_3,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_3_3] < 75 , 2, if([sc_mouse_iwcent_3_3] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_3_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_3_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_3_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_3_3,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_3_3,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_3_3],[sc_mouse_ps_3_3],[sc_mouse_fs_3_3],[sc_mouse_ss_3_3],[sc_mouse_as_3_3])",,,,,,,,,,,,
sc_mouse_iw_3_4,score_and_weights_sw,,text,,,,number,,,,,,,,,," @DEFAULT=""[sc_mouse_iw_3_4][first-instance]"""
sc_mouse_weight_3_4,score_and_weights_sw,,text,,,,number,,,,,,,,,,
sc_mouse_iwcent_3_4,score_and_weights_sw,,calc,,"round(((([sc_mouse_weight_3_4])/([sc_mouse_iw_3_4]))*100), 2)",,,,,,,,,,,,
sc_mouse_ws_3_4,score_and_weights_sw,,calc,,"if([sc_mouse_iwcent_3_4] < 75 , 2, if([sc_mouse_iwcent_3_4] < 90, 1, """"))",,,,,,,,,,,,
sc_mouse_ps_3_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_fs_3_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ss_3_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_as_3_4,score_and_weights_sw,,text,,,,number,0,2,,,,,,,,
sc_mouse_ts_3_4,score_and_weights_sw,,calc,,"sum([sc_mouse_ws_3_4],[sc_mouse_ps_3_4],[sc_mouse_fs_3_4],[sc_mouse_ss_3_4],[sc_mouse_as_3_4])",,,,,,,,,,,,
